chapter,verse,text,meaning
1,11,"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""","Protect Bhishma, who has just roared like a lion."
1,12,"1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.","Bhishma loudly shouted like a lion, and blew his conch to scare opponents."
1,13,"1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.",The Kaurava army started a loud noise with all kinds of instruments.
1,14,"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.","Meanwhile, Arjuna and Krishna joined the battle on their white horse chariot."
1,15,"1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra.","Krishna, Arjuna, and Bhima blew their respective conches, marking the start of battle."
1,16,"1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",The Pandava warriors blew their conch shells to begin the battle.
1,17,"1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered.","The warriors on Arjuna's side, including Sikhandi and others, prepared for battle."
1,18,"1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.","More warriors, including Arjuna and his cousins, blew their conch shells."
1,19,"1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.",The loud sound of the conch shells shook the battlefield.
1,20,"1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.","When the armies faced off, Arjuna equipped himself for battle and spoke to Krishna."
1,21,"1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",Arjuna asks Krishna to place their chariot between the armies so he can see who's ready to fight.
1,22,"1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",Arjuna asks Krishna to again place their chariot between the armies so he can see who's ready to fight.
1,23,"1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra).",Arjuna's motivated to fight due to his enemy Duryodhana's evil nature.
1,24,"1.24. Sanjaya said  Thus addressed by Arjuna, Krishna, having stationed that
best of chariots, O Dhritarashtra, in the midst of the two armies.",Krishna moves their chariot between the armies.
1,25,"1.25. In front of Bhishma and Drona, and all the rulers of the
earth, said: ""O Arjuna (son of Pritha), behold these Kurus gathered together.""",The Kurus are gathered with prominent leaders like Bhishma and Drona.
1,26,"1.26. Then, Arjuna (son of Pritha) saw there (in the armies) stationed,
fathers and grandfathers, teachers, maternal uncles, brothers, sons, grandsons
and friends too.",Arjuna sees his loved family members in both armies.
1,27,"1.27. (He saw) fathers-in-law and friends also in both the armies.
The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed,
spoke this, sorrowfully filled with deep pity.","He sees his relatives, including in-laws and close friends."
1,28,"1.28. Arjuna said  Seeing these, my kinsmen, O krishna, arrayed, eager to fight.","Arjuna says, seeing his family members ready for battle."
1,29,"1.29. My limbs fail and my mouth is parched, my body ivers and
my hair stands on end.",He is overcome with grief and experiences physical distress.
1,30,"1.30. The (bow) Gandiva slips from my hand, and also my skins burns
all over; I am unable even to stand and my mind is reeling, as it were.",Arjuna's bow drops and he feels weak and disoriented.
1,31,"1.31. And I see adverse omens, O Kesava. I do not see any good
in killing my kinsmen in battle.","I see bad omens, and killing my family in battle seems wrong."
1,32,"1.32. I desire not victory, O Krishna, nor kingdom, nor pleasures.
Of what avail is dominion to us, O Krishna, or pleasures or even life?","Victory, wealth, and pleasure don't matter to me."
1,33,"1.33. Those for whose sake we desire kingdom, enjoyments and pleasures,
stand here in battle, having renounced life and wealth.","Even the people I'm fighting for have lost everything, including their lives."
1,34,"1.34. Teachers, fathers, sons and also grandfathers, maternal uncles,
fathers-in-law, grandsons, brothers-in-law and other relatives,-","Family, including teachers, relatives, and loved ones, are all present."
1,35,"1.35. These I do not wish to kill, though they kill me, O Krishna,
even for the sake of dominion over the three worlds; leave alone killing
them for the sake of the earth.","I wouldn't want to kill them, even if they wanted to kill me."
1,36,"1.36. By killing these sons of Dhritarashtra, what pleasure can
be ours, O Janardana? Only sin will accrue to us from killing these felons.","Killing the Kauravas will bring no joy, only guilt."
1,37,"1.37. Therefore, we should not kill the sons of Dhritarashtra,
our relatives; for how can we be happy by killing our own people, O Madhava
(Krishna)?",We can't be happy by harming our own kin.
1,38,"1.38. Though they, with intelligence overpowered by greed, see
no evil in the destruction of families, and no sin in hostility to friends,",Those blinded by greed can't see the harm in destroying families.
1,39,"1.39. Why should not we who clearly see evil in the destruction
of families, learn to turn away from this sin, O Janardana (Krishna)?","We know the damage, so we should avoid it."
1,40,"1.40. In the destruction of a family, the immemorial religious
rites of that family perish; on the destruction of spirituality, impiety,
indeed, overcomes the whole family.",Family traditions disappear when spirituality dies out.
1,41,"1.41. By the prevalence of impiety, O Krishna, the women of
the family become corrupt; and , women being corrupted, O Varshenya (descendant
of Vrishni), there arises intermingling of castes.",
1,42,"1.42. Confusion of castes leads to hell the slayers of the family,
for their forefathers fall, deprived of the offerings of rice-ball and
water (libations).",
1,43,"1.43. By these evil deeds of the destroyers of the family, which
cause confusion of castes, the eternal religious rites of the caste and
the family are destroyed.",
1,44,"1.44. We have heard, O Janardana, that inevitable is the dwelling
for an unknown period in hell for those men in whose families the religious
practices have been destroyed.",
1,45,"1.45. Alas! We are involved in a great sin, in that we are
prepared to kill our kinsmen, through greed for the pleasures of a kingdom.",We're committing a great sin by being willing to kill family members for royal pleasure.
1,46,"1.46. If the sons of Dhritarashtra with weapons in hand should
slay me in battle, unresisting and unarmed, that would be better for me.",It would be better to die than to fight and live with guilt.
1,47,"1.47. Sanjaya said  Having thus spoken in the midst of the battlefield, Arjuna,
casting away his bow and arrow, sat down on the seat of the chariot with
his mind overwhelmed with sorrow.",Arjuna sat down in sorrow after revealing his conflicted thoughts to Sanjaya.
2,1,"2.1 Sanjaya said  To him who was thus overcome with pity and who was despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.","Krishna speaks to Arjuna, who is feeling despondent over the coming battle."
2,2,"2.2 The Blessed Lord said  Whence is this perilous strait come upon thee, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?","Krishna asks Arjuna why he, a great warrior, feels defeated."
2,3,"2.3 Yield not to impotence, O Arjuna, son of Pritha. It does not befit thee. Cast off this mean weakness of the heart! Stand up, O scorcher of the foes!",Krishna motivates Arjuna to stop feeling weak and to be brave.
2,4,"2.4 Arjuna said  How, O Madhusudana, shall I fight in battle with arrows against Bhishma and Drona, who are fit to be worshipped, O destroyer of enemies?","Arjuna is hesitant to fight against respected teachers, Bhishma and Drona."
2,5,"2.5 Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I kill them, even in this world all my enjoyments of wealth and fulfilled desires will be stained with (their) blood.",Arjuna considers the consequences of killing great warriors and losing his honor and wealth.
2,6,"2.6 I can hardly tell which will be better, that we should  coner them or that they should coner us. Even the sons of Dhritarashtra, after slaying whom we do not wish to live, stand facing us.",It's unclear whether we should attack them or let them attack us first.
2,7,2.7 My heart is overpowered by the taint of pity; my mind is confused as to duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple. Instruct me who has taken refuge in Thee.,"I'm torn between my emotions and duty, please guide me."
2,8,"2.8 I do not see that it would remove this sorrow that burns up my senses, even if I should attain prosperous and unrivalled dominion on earth or lordship over the gods.",Gaining power won't bring happiness and end my emotional pain.
2,9,"2.9 Sanjaya said  Having spoken thus to Hrishikesha (the Lord of the senses), Arjuna (the coneror of sleep), the destroyer of foes, said to Krishna, ""I will not fight"" and became silent.",Arjuna decided he no longer wanted to fight after speaking with Krishna.
2,10,"2.10 To him who was despondent in the midst of the two armies, Krishna, as if smiling, O Bharata, spoke these words.",Krishna responded to Arjuna's indecision with comforting words.
2,11,"2.11 The Blessed Lord said  Thou hast grieved for those that should not be grieved for, yet thou speakest words of wisdom. The wise grieve neither for the living nor for the dead.",
2,12,"2.12 Nor at any time indeed was I not, nor thou, nor these rulers of men, nor verily shall we ever cease to be hereafter.",
2,13,"2.13 Just as in this body the embodied (soul) passes into childhood, youth and old age, so also does it pass into another body; the firm man does not grieve thereat.",
2,14,"2.14 The contacts of the senses with the objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them bravely, O Arjuna.",
2,15,"2.15 That firm man whom, surely, these afflict not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",
2,16,2.16 The unreal hath no being; there is non-being of the real; the truth about both has been seen by the knowers of the Truth (or the seers of the Essence).,The real and unreal coexist without true existence or destruction.
2,17,"2.17 Know that to be indestructible, by Which all this is pervaded. None can cause the destruction of That, the Imperishable.",There's an indestructible force behind all existence that can't be destroyed.
2,18,"2.18 These bodies of the embodied Self, Which is eternal, indestructible and immeasurable, are said to have an end. Therefore fight, O Arjuna.","Fight despite the impermanence of physical bodies, as the self remains eternal."
2,19,"2.19 He who takes the Self to be the slayer and he who thinks It is slain, neither of them ï1knowsï1. It slays not, nor is It slain.",The self cannot be killed or destroyed in any form.
2,20,"2.20 It is not born, nor does It ever die; after having been, It again ceases not to be; unborn, eternal, changeless and ancient, It is not killed when the body is killed.","The self is eternal and remains unchanged, unaffected by death."
2,21,"2.21 Whosoever knows It to be indestructible, eternal, unborn and inexhaustible, how can that man slay, O Arjuna, or cause to be slain?","Knowing the soul is indestructible and eternal, why would anyone kill?"
2,22,"2.22 Just as a man casts off worn-out clothes and puts on new ones, so also the embodied Self casts off worn-out bodies and enters others which are new.",The soul changes bodies like we change clothes.
2,23,"2.23 Weapons cut It not, fire burns It not, water wets It not, wind dries It not.",No physical force can harm the soul.
2,24,"2.24 This Self cannot be cut, burnt, wetted, nor dried up. It is eternal, all-pervading, stable, immovable and ancient.","The soul is eternal, all-encompassing, and cannot be harmed."
2,25,"2.25 This (Self) is said to be unmanifested, unthinkable and unchangeable. Therefore, knowing This to be such, thou shouldst not grieve.",The soul is unchangeable and should not be a cause for grief.
2,26,"2.26 But even if thou thinkest of It as being constantly born and constantly dying, even then, O mighty-armed, thou shouldst not grieve.",You shouldn't grieve because death and birth are continuous.
2,27,"2.27 For certain is death for the born, and certain is birth for the dead; therefore, over the inevitable thou shouldst not grieve.","There's no need to grieve about death, since it's inevitable."
2,28,"2.28 Beings are unmanifested in their beginning, manifested in their middle state, O Arjuna, and unmanifested again in their end. What is there to grieve about?","Living beings have a start, a middle, and an end, so why grieve?"
2,29,"2.29 One sees This (the Self) as a wonder; another speaks of It as a wonder; another hears of It as a wonder; yet having heard, none understands It at all.",Most people hear about the Self but don't truly understand it.
2,30,"2.30 This, the Indweller in the body of everyone, is ever indestructible, O Arjuna; therefore, thou shouldst not grieve for any creature.","The Self is indestructible, so don't grieve for anyone's fate."
2,31,"2.31 Further, having regard to thy duty, shouldst not waver, for there is nothing higher for a Kshatriya than a righteous war.","As a Kshatriya, you should not waver from your duty in war."
2,32,"2.32 Happy are the Kshatriyas, O Arjuna! who are called upon to fight in such a battle that comes of itself as an open door to heaven.",The Kshatriyas who fight in righteous wars are blessed with direct entry into heaven.
2,33,"2.33 But if thou wilt not fight this righteous war, then having abandoned thine own duty and fame, thou shalt incur sin.","Not fighting a righteous war will lead to sin, causing you to abandon your duty and reputation."
2,34,"2.34 People, too, will recount thy everlasting dishonour; and to one who has been honoured, dishonour is worse than death.","Falling from honour is more shameful than death, especially for someone who was held in high esteem."
2,35,2.35 The great car-warriors will think that thou hast withdrawn from the battle through fear; and thou wilt be lightly held by them who have thought much of thee.,"Not participating in a battle will make others think you lacked courage, leading to loss of respect."
2,36,"2.36 Thy enemies also, cavilling at thy power, will speak many abusive words. What is more painful than this?",Enemies will insult and call you weak.
2,37,"2.37 Slain, thou wilt obtain heaven; victorious, thou wilt enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight.","You'll get rewards whether you win or lose, so fight."
2,38,"2.38 Having made pleasure and pain, gain and loss, victory and defeat the same, engage thou in battle for the sake of battle; thus thou shalt not incur sin.","Fight to fight, treating outcomes as equal, to avoid guilt."
2,39,"2.39 This, which has been taught to thee, is wisdon concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, thou shalt cast off the bonds of action.","I'll share a new type of wisdom, yoga, to free you from action."
2,40,"2.40 In this there is no loss of effort, nor is there any harm (production of contrary results or transgression). Even a little of this knowledge (even a little practice of this Yoga) protects one from great fear.",Even a small amount of yoga knowledge keeps you calm.
2,41,"2.41 Here, O joy of the Kurus, there is but a single one-pointed determination; many-branched and endless are the thoughts of the irresolute.","Focused determination is needed, not endless, changing thoughts."
2,42,"2.42 Flowery speech is uttered by the unwise, taking pleasure in the eulogising words of the Vedas, O Arjuna, saying, ""There is nothing else.""",Vedas are used incorrectly to justify selfish desires and ignorance.
2,43,"2.43 Full of desires, having heaven as their goal, (they utter speech which is directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power.","Some people teach selfish ambitions as a goal, using desires to motivate work."
2,44,"2.44 For those who are attached to pleasure and power, whose minds are drawn away by such teaching, ï1thatï1 determinate reason is not formed which is steadily bent on meditation and Samadhi (superconscious state).",Those focused on desires are not able to seek a higher state of consciousness.
2,45,"2.45 The Vedas deal with the three attributes (of Nature); be thou above these three attributes. O Arjuna, free yourself from the pairs of opposites, and ever remain in the ality of Sattva (goodness), freed from (the thought of) acisition and preservation, and be established in the Self.",Arjuna should remain detached from nature's attributes and reach a higher self-awareness state.
2,46,"2.46 To the Brahmana who has known the Self, all the Vedas are of as much use as is a reservoir of water in a place where there is a flood.",Vedas won't benefit you if you've already understood the Self.
2,47,"2.47 Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction.","You act solely for the cause, not for the outcome."
2,48,"2.48 Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure. Evenness of mind is called Yoga.","Do work without attachment, and with a balanced mindset."
2,49,"2.49 Far lower than the Yoga of wisdon is action, O Arjuna. Seek thou refuge in wisdom; wretched are they whose motive is the fruit.",Wisdom is better than just action for its rewards.
2,50,"2.50 Endowed with wisdom (evenness of mind), one casts off in this life both good and evil deeds; therefore, devote thyself to Yoga; Yoga is skill in action.","Wisdom allows you to avoid good and bad actions, so focus on it."
2,51,"2.51 The wise, possessed of knowledge, having abandoned the fruits of their actions, and being freed from the fetters of birth, go to the place which is beyond all evil.","Wise people, free from worldly attachments, reach a state beyond suffering."
2,52,"2.52 When thy intellect crosses beyond the mire of delusion, then thou shalt attain to indifference as to what has been heard and what has yet to be heard.","When you're free from ignorance, you'll be indifferent to knowledge."
2,53,"2.53 When thy intellect, which is perplexed by the Veda text, which thou hast read, shall stand immovable and steady in the Self, then thou shalt attain Self-realisation.","When your intellect is steady and connected to your true self, you'll attain self-realization."
2,54,"2.54 Arjuna said  What, O Krishna, is the description of him who has steady wisdom, and is merged in the superconscious state? How does one of steady wisdom speak, how does he sit, how does he walk?",Arjuna asks Krishna to describe someone who is at peace and connected to their divine nature.
2,55,"2.55 The Blessed Lord said  When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then is he said to be one of steady wisdom.","To be at peace, let go of your desires and find satisfaction within yourself."
2,56,"2.56 He whose mind is not shaken by adversity, who does not hanker after pleasures, and is free from attachment, fear and anger, is called a sage of steady wisdom.",A sage of steady wisdom isn't easily upset or attached.
2,57,"2.57 He who is everywhere without attachment, on meeting with anything good or bad, who neither rejoices not hastes, his wisdom is fixed.",One with fixed wisdom remains calm in all situations.
2,58,"2.58 When, like the tortoise which withdraws on all sides its limbs, he withdraws his senses from the sense-objects, then his wisdom becomes steady.",A person's wisdom stabilizes when they withdraw from worldly distractions.
2,59,2.59 The objects of the senses turn away from the abstinent man leaving the longing (behind); but his longing also turns away on seeing the Supreme.,"When one lets go, everything else falls away, too."
2,60,"2.60 The turbulent senses, O Arjuna, do violently carry away the mind of a wise man though he be striving (to control them).",Even knowledgeable people can struggle to control their senses.
2,61,"2.61 Having restrained them all he should sit steadfast, intent on Me; his wisdom is steady whose senses are under control.",He who controls his senses and focuses on a higher power has a steady wisdom.
2,62,"2.62 When a man thinks of the objects, attachment for them arises; from attachment desire is born; from desire anger arises.","Thinking about worldly objects leads to attachment, desire, and ultimately anger."
2,63,2.63 From anger comes delusion; from delusion loss of memory; from loss of memory the destruction of discrimination; from the destruction of discrimination he perishes.,"Anger causes delusion, leading to memory loss, lost discrimination, and ultimately destruction."
2,64,"2.64 But the self-controlled man, moving among the objects with the senses under restraint and free from attraction and repulsion, attains to peace.","The self-controlled individual, unattached to worldly objects, finds inner peace."
2,65,2.65 In that peace all pains are destroyed; for the intellect of the tranquil-minded soon becomes steady.,"In inner peace, all suffering is destroyed, and the focused mind becomes steady."
2,66,"2.66 There is no knowledge of the Self to the unsteady and to the unsteady no meditation is possible, and to the unmeditative there can be no peace, and to the man who has no peace, how can there be happiness?",Unstable people never find inner peace and true happiness.
2,67,"2.67 For the mind, which follows in the wake of the wandering senses, carries away his discrimination, as the wind (carries away) a boat on the waters.","The mind wanders unless controlled by the senses, leading to confusion."
2,68,"2.68 Therefore, O mighty-armed Arjuna, his knowledge is steady whose senses are completely restrained from sense-objects.",A person with self-controlled senses has steady and reliable knowledge.
2,69,"2.69 That which is night to all beings, in that the self-controlled man is awake; when all beings are awake, that is night for the Muni (sage) who sees.",A wise person finds peace when others around him are in chaos.
2,70,"2.70 He attains peace into whom all desires enter as waters enter the ocean which, filled from all sides, remains unmoved; but not the man who is full of desires.",A person with no desires achieves true inner peace.
2,71,"2.71 That man attains peace who, abandoning all desires, moves about without longing, without the sense of mine and without egoism.",
2,72,"2.72 This is the Brahmic seat (eternal state), O son of Pritha. Attaining to this, none is deluded. Being established therein, even at the end of life, one attains to oneness with Brahman.",
3,1,"3.1 Arjuna said  If Thou thinkest that knowledge is superior to action, O Krishna, why then, O Kesava, dost Thou ask me to engage in this terrible action?",Arjuna is questioning why Krishna asks him to take action if knowledge is superior.
3,2,"3.2 With this apparently perplexing speech, Thou confusest, as it were, my understanding; therefore tell me that one way for certain by which I may attain bliss.",Arjuna asks Krishna to clarify and give him a clear path to attain bliss.
3,3,"3.3 The Blessed Lord said  In this world there is a twofold path, as I said before, O sinless one; the path of knowledge of the Sankhyas and the path of action of the Yogins.",Krishna explains that there are two paths: knowledge and action.
3,4,3.4 Not by non-performance of actions does man reach actionlessness; nor by mere renunciation does he attain to perfection.,You can't achieve no action by doing nothing; action is inevitable for all.
3,5,3.5 Verily none can ever remain for even a moment without performing action; for everyone is made to act helplessly indeed by the alities born of Nature.,Everyone is forced to act due to the natural laws of the universe.
3,6,"3.6 He who, restraining the organs of action, sits thinking of the sense-objects in mind, he of deluded understanding is called a hypocrite.",Thinking about sense-objects while suppressing action is hypocritical.
3,7,"3.7 But whosoever, controlling the senses by the mind, O Arjuna, engages himself in Karma Yoga with the organs of action, without attachment, he excels.",Focusing on the mind to control actions is the path to true dedication.
3,8,"3.8 Do thou perform (thy) bounden duty, for action is superior to inaction and even the maintenance of the body would not be possible for thee by inaction.","Doing nothing is inferior, and you need to act to survive."
3,9,"3.9 The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform action for that sake (for sacrifice alone), free from attachment.","The only acceptable actions are those done for the greater good, without attachment."
3,10,"3.10 The Creator, having in the beginning (of creation) created mankind together with sacrifice, said, ""By this shall ye propagate; let this be the milch cow of your desires (the cow which yields all the desired objects).""",Sacrifice is the source of creation and fulfillment of desires.
3,11,"3.11 With this do ye nourish the gods and may those gods nourish you; thus nourishing one another, ye shall attain to the highest good.",Helping the gods through sacrifice benefits you.
3,12,"3.12 The gods, nourished by the sacrifice, will give you the desired objects. So, he who enjoys the objects given by the gods without offering (in return) to them, is verily a thief.",Enjoy things given to you by the gods with a sense of gratitude.
3,13,3.13 The righteous who eat the remnants of the sacrifice are freed from all sins; but those sinful ones who cook food (only) for their own sake verily eat sin.,"Those who eat food offered in sacrifice are freed from sin, not those who cook just for themselves."
3,14,3.14 From food come forth beings; from rain food is produced; from sacrifice arises rain and sacrifice is born of action.,Food and life come from sacrifice.
3,15,"3.15 Know thou that action comes from Brahma and Brahma comes from the Imperishable. Therefore, the all-pervading (Brahma) ever rests in sacrifice.",The divine power of sacrifice is a fundamental aspect of the universe.
3,16,"3.16 He who does not follow here the wheel thus set revolving, who is of sinful life, rejoicing in the senses, he lives in vain, O Arjuna.",You're just wasting your life if you're not living for a higher purpose.
3,17,"3.17 But for that man who rejoices only in the Self, who is satisfied with the Self and who is content in the Self alone, verily there is nothing to do.","If you're fulfilled through spiritual growth, you have nothing more to achieve."
3,18,3.18 For him there is no interest whatever in what is done or what is not done; nor does he depend on any being for any object.,You're independent and self-sufficient when you're not attached to external things or outcomes.
3,19,"3.19 Therefore without attachment, do thou always perform action which should be done; for by performing action without attachment man reaches the Supreme.",Do your work without attachment to the outcome for a higher sense of fulfillment.
3,20,3.20 Janaka and others attained perfection verily by action only; even with a view to the protection of the masses thou shouldst perform action.,"Even in service to others, following your duty can lead to spiritual growth and greatness."
3,21,"3.21 Whatsoever a great man does, that the other men also do; whatever he sets up as the standard, that the world (mankind) follows.",Famous people set trends that others follow.
3,22,"3.22 There is nothing in the three worlds, O Arjuna, that should be done by Me, nor is there anything unattained that should be attained; yet I engage Myself in action.",Even the ultimate reality engages in action despite being self-sufficient.
3,23,"3.23 For, should I not ever engage Myself in action, unwearied, men would in every way follow My path, O Arjuna.","If the ultimate reality doesn't act, others will follow its example, leading to chaos."
3,24,3.24 These worlds would perish if I did not perform action; I should be the author of confusion of castes and destruction of these beings.,"If the ultimate reality doesn't act, the world will fall into disorder and eventually perish."
3,25,"3.25 As the ignorant men act from attachment to action, O Bharata (Arjuna), so should the wise act without attachment, wishing the welfare of the world.","Wise people perform their duties like ignorant people, but with the goal of benefiting the world."
3,26,"3.26 Let no wise man unsettle the mind of ignorant people who are attached to action; he should engage them in all actions, himself fulfilling them with devotion.",Don't confuse those who don't know any better - just teach them actions in harmony with devotion.
3,27,"3.27 All actions are wrought in all cases by the alities of Nature only. He whose mind is deluded by egoism thinks, ""I am the doer.""","Actions are really performed by nature, not by the individual."
3,28,"3.28 But he who knows the Truth, O mighty-armed (Arjuna), about the divisions of the alities and (their) functions, knowing that the Gunas as senses move amidst the Gunas as the sense-objects, is not attached.","If you understand how nature works, you won't be attached to things."
3,29,3.29 Those deluded by the alities of Nature are attached to the functions of the alities. The man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge.,Don't discourage people who don't understand that nature is in control.
3,30,"3.30 Renouncing all actions in Me, with the mind centred in the Self, free from hope and egoism, and from (mental) fever, do thou fight.","Just focus on yourself and God, without expectation or ego."
3,31,"3.31 Those men who constantly practise this teaching of Mine with faith and without cavilling, they too are freed from actions.",
3,32,"3.32 But those who carp at My teaching and do not practise it, deluded of all knowledge, and devoid of discrimination, know them to be doomed to destruction.",
3,33,"3.33 Even a wise man acts in accordance with his own nature; beings will follow Nature; what can 
restraint do?",
3,34,"3.34 Attachment and aversion for the objects of the senses abide in the senses; let none come under their sway; for, they are his foes.",
3,35,"3.35 Better is one's own duty, though devoid of merit than the duty of another well discharged. Better is death in one's own duty; the duty of another is fraught with fear (is productive of danger).",
3,36,"3.36 Arjuna said  But impelled by what does man commit sin, though against his wishes, O Varshneya (Krishna), constrained as it were, by force?","Man commits sin out of impulse, often despite his wishes."
3,37,"3.37 The Blessed Lord said  It is desire, it is anger both of the ality of Rajas, all-devouring, all-sinful; know this as the foe here (in this world).",Desire and anger are the two main causes of sin.
3,38,"3.38 As fire is enveloped by smoke, as a mirror by dust, and as an embryo by the amnion, so is this enveloped by that.",Desire is like smoke that blocks our wisdom.
3,39,"3.39 O Arjuna, wisdom is enveloped by this constant enemy of the wise in the form of desire, which is unappeasable as fire.",Desire is a constant enemy to wise people that is hard to defeat.
3,40,"3.40 The senses, the mind and the intellect are said to be its seat; through these it deludes the embodied by veiling his wisdom.","Desire affects us through our senses, mind, and intellect."
3,41,"3.41 Therefore, O best of the Bharatas (Arjuna), controlling the senses first, do thou kill this sinful thing, the destroyer of knowledge and realisation.","Control your senses first, then kill your sinful tendencies."
3,42,3.42 They say that the senses are superior (to the body); superior to the senses is the mind; superior to the mind is the intellect; one who is superior even to the intellect is He (the Self).,"The Self is superior to the intellect, the mind, and even the senses."
3,43,"3.43 Thus knowing Him Who is superior to the intellect and restraining the self by the Self, slay thou, O mighty-armed Arjuna, the enemy in the form of desire, hard to coner.","Knowing the Self, control yourself and defeat your hard-to-conquer desire."
4,1,4.1 The Blessed Lord said  I taught this imperishable Yoga to Vivasvan; he told it to Manu; Manu proclaimed it to Ikshvaku.,
4,2,"4.2 This, handed down thus in regular succession, the royal sages knew. This Yoga, by long lapse of time, has been lost here, O Parantapa (burner of the foes).",
4,3,"4.3 That same ancient Yoga has been today taught to thee by Me, for thou art My devotee and My friend; it is the supreme secret.",
4,4,"4.4 Arjuna said  Later on was Thy birth, and prior to it was the birth of Vivasvan (the Sun); how am I to understand that Thou taughtest this Yoga in the beginning?",
4,5,"4.5 The Blessed Lord said  Many births of Mine have passed as well as of thine, O Arjuna; I know them all but thou knowest not, O Parantapa (scorcher of foes).",
